# Indian Food Composition Tables 2017
# T. Longvah, R. Ananthan, K. Bhaskarachary and K. Venkaiah
#
# Copyright  © 2017 by National Institute of Nutrition
# Indian Council of Medical Research
# Department of Health Research Ministry of Health and Family Welfare, Government of India
# Jamai Osmania (PO), Hyderabad – 500 007
# Telangana, India Phone: +91 40 27197334, Fax: +91 40 27000339, Email: nin@ap.nic.in
#
# COLUMN DESCRIPTIONS
# - Column Code
# - Column Name
# - Ten Factor
# - Topics
# - Tags
code,name,factor,tops,tags
chocal,Cholecalciferol (D3),6,vitd,activated dehydrocholesterol colecalciferol vitamin d3 d 3 fat soluble essential
doh25,25-OH-D3,6,vitd,25 oh 0 calcifediol calcidiol hydroxycholecalciferol hydroxyvitamin prehormone vitamin d3 d 3 fat soluble essential
tocpha,α-Tocopherol,3,tocph,a alpha tcp vitamin e fat soluble methylated phenol antioxidant saturated phytyl essential yellow brown viscous liquid
tocphb,β-Tocopherol,3,tocph,b beta tcp vitamin e fat soluble methylated phenol antioxidant saturated phytyl essential
tocphg,γ-Tocopherol,3,tocph,g gamma tcp vitamin e fat soluble methylated phenol antioxidant saturated phytyl essential
tocphd,δ-Tocopherol,3,tocph,d delta tcp vitamin e fat soluble methylated phenol antioxidant saturated phytyl essential
toctra,α-Tocotrienol,3,toctr,a alpha vitamin e fat soluble methylated phenol antioxidant unsaturated isoprenoid essential
toctrb,β-Tocotrienol,3,toctr,b beta vitamin e fat soluble methylated phenol antioxidant unsaturated isoprenoid essential
toctrg,γ-Tocotrienol,3,toctr,g gamma vitamin e fat soluble methylated phenol antioxidant unsaturated isoprenoid essential
toctrd,δ-Tocotrienol,3,toctr,d delta vitamin e fat soluble methylated phenol antioxidant unsaturated isoprenoid essential
vite,α-Tocopherol equivalent (E),3,vit,total a alpha ate te vitamin e vitamin e fat soluble methylated phenol antioxidant essential
vitk1,Phylloquinones (K1),3,vitk,total pk phytomenadione phytonadione quinone mephyton fat soluble vitamin k1 k 1 essential
vitk2,Menaquinones (K2),6,vitk,total mk menatetrenone quinone mk fat soluble vitamin k2 k 2 essential
# table 4
lutn,Lutein,3,xantp,xanthophyll carotenoid tetraterpenoid terpenoid isoprenoid phytochemical orange red yellow pigment crystalline crystal solid
zea,Zeaxanthin,3,xantp,xanthophyll carotenoid tetraterpenoid terpenoid isoprenoid phytochemical orange red yellow pigment
crypxb,β-Cryptoxanthin,3,xantp,b beta xanthophyll carotenoid tetraterpenoid terpenoid isoprenoid phytochemical yellow pigment vitamer provitamin vitamin vitamin-a cryptoxanthol caricaxanthin kryptoxanthin
lycpn,Lycopene,3,carot,carotene carotenoid tetraterpenoid terpenoid isoprenoid phytochemical deep red orange pigment solid
cartg,γ-Carotene,6,carot,g gamma carotene carotenoid tetraterpenoid terpenoid isoprenoid phytochemical orange pigment vitamer provitamin vitamin vitamin-a
carta,α-Carotene,3,carot,a alpha carotene carotenoid tetraterpenoid terpenoid isoprenoid phytochemical orange pigment vitamer provitamin vitamin vitamin-a
cartb,β-Carotene,3,carot,b beta carotene carotenoid tetraterpenoid terpenoid isoprenoid phytochemical dark red orange pigment crystalline crystal vitamer provitamin vitamin vitamin-a
cartoid,Total Carotenoids,3,,carotene xanthophyll carotenoid tetraterpenoid terpenoid isoprenoid phytochemical orange yellow pigment
# table 5-1
al,Aluminium (Al),3,mnrlnet,trace post transition metal mineral chemical element
as,Arsenic (As),6,mnrlet,trace metalloid chemical element
cd,Cadmium (Cd),3,mnrlnet,trace post transition metal toxic chemical element
ca,Calcium (Ca),0,mnrleq,quantity alkaline earth metal mineral chemical element
cr,Chromium (Cr),6,mnrlet,trace transition metal mineral chemical element
co,Cobalt (Co),6,mnrlet,trace transition metal mineral chemical element
cu,Copper (Cu),3,mnrlet,trace transition metal mineral chemical element
fe,Iron (Fe),3,mnrlet,trace transition metal mineral chemical element
pb,Lead (Pb),3,mnrlnet,trace heavy post transition metal toxic chemical element
li,Lithium (Li),3,mnrlpet,trace alkali metal mineral chemical element
# table 5-2
mg,Magnesium (Mg),0,mnrleq,quantity alkaline earth metal mineral chemical element
mn,Manganese (Mn),3,mnrlet,trace transition metal ineral chemical element
hg,Mercury (Hg),6,mnrltx,trace heavy liquid post transition metal toxic chemical element
mo,Molybdenum (Mo),3,mnrlet,trace transition metal mineral chemical element
ni,Nickel (Ni),3,mnrlet,trace transition metal mineral chemical element
p,Phophorus (P),0,mnrleq,quantity nonmetal mineral chemical element
k,Potassium (K),0,mnrleq,quantity alkali metal mineral chemical element
se,Selenium (Se),6,mnrlet,trace nonmetal mineral chemical element
na,Sodium (Na),0,mnrleq,quantity alkali metal mineral chemical element
zn,Zinc (Zn),3,mnrlet,trace post transition mineral chemical element
# table 6
cho,Total Available CHO,0,choavldf,digest absorb glucogenic carbohydrate available carbohydrate
starch,Total Starch,0,cho,amylum polysaccharide polymeric carbohydrate available
frus,Fructose,0,fsugar,simple fruit sugar levulose fructofuranose arabino hexulose ketonic monosaccharide free available carbohydrate
glus,Glucose,0,fsugar,simple sugar blood dextrose corn grape monosaccharide white powder free available carbohydrate
sucs,Sucrose,0,fsugar,common table sugar saccharose disaccharide white solid free available carbohydrate
mals,Maltose,0,fsugar,maltobiose malt sugar disaccharide white powder crystalline crystal free available carbohydrate
fsugar,Total Free Sugars,0,cho,added natural sugar monosaccharide disaccharide available carbohydrate
lactose,Lactose Content,0,fsugar,milk sugar disaccharide white solid free available carbohydrate
# table 7-1
f4d0,Butyric acid (C4:0),0,fasat,c40 c 40 4 0 bta butanoic propanecarboxylic carboxylic saturated fatty fat triglyceride lipid colorless liquid unpleasant vomit body odor
f6d0,Caproic acid (C6:0),0,fasat,c60 c 60 6 0 hexanoic carboxylic saturated fatty fat medium chain triglyceride lipid colorless oily liquid goat like
f8d0,Caprylic acid (C8:0),0,fasat,c80 c 80 8 0 octanoic carboxylic saturated fatty fat medium chain triglyceride lipid colorless oily liquid faint fruity irritating
f10d0,Capric acid (C10:0),0,fasat,c100 c 100 10 0 decanoic carboxylic saturated fatty fat medium chain triglyceride lipid white crystals strong rancid and unpleasant
f11d0,Undecanoic acid (C11:0),3,fasat,c110 c 110 11 0 undecylic carboxylic saturated fatty fat triglyceride lipid colourless crystals distinctive unpleasant odor
f12d0,Lauric acid (C12:0),0,fasat,c120 c 120 12 0 dodecanoic dodecylic dodecoic laurostearic vulvic undecanecarboxylic duodecylic carboxylic saturated fatty fat medium chain triglyceride white powder faint odor bay oil soap
f14d0,Myristic acid (C14:0),0,fasat,c140 c 140 14 0 tetradecanoic carboxylic saturated fatty fat triglyceride lipid
f15d0,Pentadecanoic acid (C15:0),3,fasat,c150 c 150 15 0 pentadecylic carboxylic saturated fatty fat triglyceride lipid
f16d0,Palmitic acid (C16:0),0,fasat,c160 c 160 16 0 hexadecanoic carboxylic saturated fatty fat triglyceride lipid white crystals
f18d0,Stearic acid (C18:0),0,fasat,c180 c 180 18 0 octadecanoic carboxylic saturated fatty fat triglyceride lipid white solid pungent oily
f20d0,Arachidic acid (C20:0),0,fasat,c200 c 200 20 0 eicosanoic icosanoic arachic carboxylic saturated fatty fat triglyceride lipid white crystalline crystal solid
f22d0,Behenic acid (C22:0),0,fasat,c220 c 220 22 0 docosanoic docosanoate hydrofol carboxylic saturated fatty fat triglyceride lipid white yellow crystalline crystal powder
f24d0,Lignoceric acid (C24:0),3,fasat,c240 c 240 24 0 tetracosanoic carboxylic saturated fatty fat triglyceride lipid
f14d1cn5,Myristoleic acid (C14:1),0,famscis,c141 c 141 14 1 tetradecenoic myristolenic oleomyristic omega 5 monounsaturated mono unsaturated fatty fat triglyceride lipid
f16d1cn7,Palmitoleic acid (C16:1),0,famscis,c161 c 161 16 1 hexadec enoic palmitoleic hexadecenoic omega 7 monounsaturated mono unsaturated fatty fat triglyceride lipid
f18d1cn9,Oleic acid (C18:1n9),0,facn9 famscis,c181n9 c181 c 181 18 1n9 1 n9 n 9 octadec enoic octadecenoic omega 9 monounsaturated mono unsaturated fatty fat triglyceride lipid
f18d1tn9,Elaidic acid (C18:1n9t),0,fatrn,c181n9t c 18 1n9t 1n9 1 n9t n9 n 9 t octadec enoic octadecenoic carboxylic trans monounsaturated mono unsaturated fatty fat triglyceride lipid colorless waxy oily solid
f20d1cn9,Eicosenoic acid (C20:1n9),0,facn9 famscis,c201n9 c201 c20 c 20 201 1n9 1 n9 n 9 gondoic eicos enoic icosenoic icos enoic omega 9 monounsaturated mono unsaturated fatty fat triglyceride lipid
f22d1cn9,Erucic acid (C22:1n9),0,facn9 famscis,c221n9 c221 c 221 22 1 n9 n 9 docos enoic omega 9 monounsaturated mono unsaturated fatty fat triglyceride lipid white waxy solid
f24d1cn9,Nervonic acid (C24:1n9),3,facn9 famscis,c241n9 c241 c 241 24 1 n9 n 9 tetracos enoic tetracosenoic omega 9 monounsaturated mono unsaturated fatty fat triglyceride lipid
f18d2cn6,Linoleic acid (C18:2n6),0,facn6 faess fapu,c182n6 c182 c 182 18 2 n6 n 6 octadeca dienoic octadecadienoic omega 6 polyunsaturated poly unsaturated fatty fat triglyceride lipid colorless oil
f20d2n6,Eicosadienoic acid (C20:2),3,facn6 fapu,c202 c 202 20 2 eicosa icosa dienoic omega 6 polyunsaturated poly unsaturated fatty fat triglyceride lipid
f22d2n6,Docosadienoic acid (C22:2),0,facn6 fapu,c222 c 222 22 2 docosa dienoic omega 6 polyunsaturated poly unsaturated fatty fat triglyceride lipid
f18d3n3,α-Linolenic acid (C18:3n3),0,facn3 faess fapu,c183n3 c183 c 183 18 3 n3 n 3 ala lna a alpha octadecatrienoic octadeca trienoic omega 3 polyunsaturated poly unsaturated fatty fat triglyceride lipid
f20d3n6,Eicosatrienoic acid (C20:3n6),3,facn6 fapu,c203n6 c203 c 203 20 3 n6 n 6 eicosa icosa trienoic omega 6 polyunsaturated poly unsaturated fatty fat triglyceride lipid
f20d4n6,Arachidonic acid (C20:4n6),0,facn6 faess fapu,c204n6 c204 c 204 20 4 n6 n 6 aa ara eicosatetraenoic eicosa icosa tetraenoic arachidonate omega 6 polyunsaturated poly unsaturated fatty fat triglyceride lipid
f20d5n3,Eicosapentaenoic acid (C20:5n3),0,facn3 faess fapu,c205n3 c205 c 205 20 5 n3 n 3 epa icosapentaenoic timnodonic eicosa icosa pentaenoic omega 3 polyunsaturated poly unsaturated fatty fat triglyceride lipid
f22d5n3,Docosapentaenoic acid (C22:5n3),0,facn3 fapu,c225n3 c225 c 225 22 5 n3 n 3 dpa docosa pentaenoic omega 3 polyunsaturated poly unsaturated fatty fat triglyceride lipid
f22d6n3,Docosahexaenoic acid (C22:6n3),0,facn3 faess fapu,c226n3 c226 c 226 22 6 n3 n 3 dha docosa hexaenoic cervonic doconexent omega 3 polyunsaturated poly unsaturated fatty fat triglyceride lipid
fasat,Total Saturated Fatty acids (TSFA),0,fatce,fat triglyceride lipid
fams,Total Monounsaturated Fatty acids (TMUFA),0,fauns,mono unsaturated fat triglyceride lipid
fapu,Total Polyunsaturated Fatty acids (TPUFA),0,fauns,poly unsaturated fat triglyceride lipid
cholc,Cholesterol,0,,total cholesterin cholesteryl alcohol zoosterol animal sterol lipid white crystalline crystal powder
# table 7-4
# table 7-5
# table 7-6
# table 7-7
# table 7-8
# table 8-1
his,Histidine,0,amiace,h amino acid
ile,Isoleucine,0,amiace,i amino acid
leu,Leucine,0,amiace,l amino acid
lys,Lysine,0,amiace,k amino acid
met,Methionine,0,amiace,m amino acid
cys,Cysteine,0,amiacce,c amino acid
phe,Phenylalanine,0,amiace,f amino acid
thr,Threonine,0,amiace,t amino acid
trp,Tryptophan,0,amiace,w amino acid
val,Valine,0,amiace,v amino acid
# table 8-2
ala,Alanine,0,amiacne,a amino acid
arg,Arginine,0,amiacce,r amino acid
asp,Aspartic acid,0,amiacne,d amino acid
glu,Glutamic acid,0,amiacne,e amino acid
gly,Glycine,0,amiacce,g amino acid
pro,Proline,0,amiacce,p amino acid
ser,Serine,0,amiacne,s amino acid
tyr,Tyrosine,0,amiacce,y amino acid
# table 9
oxalt,Total Oxalate,0,orgac,ox ethanedioate oxalic organic acid
oxals,Soluble Oxalate,0,oxalt,total ox sodium potassium ethanedioate oxalic organic acid
oxali,Insoluble Oxalate,0,oxalt,total ox calcium ethanedioate oxalic organic acid
caconac,Cis-Aconitic acid,3,orgac,achilleic equisetic citridinic pyrocitric organic acid
citac,Citric acid,0,orgac,hydroxypropane tricarboxylic organic acid
fumac,Fumaric acid,3,orgac,trans butenedioic but enedioic ethylenedicarboxylic allomaleic boletic donitic lichenic unsaturated organic acid white solid
malac,Malic acid,0,orgac,hydroxybutanedioic hydroxysuccinic unsaturated organic acid
quinac,Quinic acid,0,orgac,tetrahydroxycyclohexanecarboxylic tetrahydroxy cyclohexanecarboxylic cyclitol cyclic polyol organic acid
sucac,Succinic acid,0,orgac,butandioic dicarboxylic organic acid
tarac,Tartaric acid,0,orgac,dihydroxybutanedioic dihydroxysuccinic threaric racemic uvic paratartaric organic acid white crystalline crystal powder
# table 10-1
dhbenzac34,"3,4-Dihydroxy Benzoic acid",3,polyph,34 dihydroxybenzoic polyphenol poly phenol phenolic phytochemical phyto
hbenzal3,3-Hydroxy Benzaldehyde,3,polyph,Hydroxybenzaldehyde aldehyde polyphenol poly phenol phenolic phytochemical phyto
pcathac,Protocatechuic acid,3,polyph,pca protocatechuate dihydroxybenzoic dihydroxy benzoic polyphenol poly phenol phenolic phytochemical phyto light brown solid
vanlac,Vanillic acid,3,polyph,dihydroxybenzoic dihydroxy benzoic vanillin hydroxy methoxybenzoic anisic vanillate polyphenol poly phenol phenolic aromatic phytochemical phyto white light yellow powder crystalline crystal
gallac,Gallic acid,3,polyph,trihydroxybenzoic trihydroxy benzoic polyphenol poly phenol phenolic aromatic phytochemical phyto white yellow pale fawn crystalline crystal
cinmac,Cinnamic acid,3,polyph,phenylprop enoic phenylacrylic cinnamylic phenylacrylic benzenepropenoic benzenepropenoic hydroxycinnamic aromatic unsaturated carboxylic polyphenol poly phenol phenolic phytochemical phyto white monoclinic crystalline crystal
coumaco,o-Coumaric acid,3,polyph,ortho hydroxyphenyl prop enoic propenoic hydroxycinnamic aromatic polyphenol poly phenol phenolic phytochemical phyto
coumacp,p-Coumaric acid,3,polyph,para hydroxyphenyl prop enoic propenoic acrylic hydroxycinnamic aromatic polyphenol poly phenol phenolic phytochemical phyto
caffac,Caffeic acid,3,polyph,dihydroxyphenyl propenoic dihydroxy cinnamic trans caffeate cinnamate dihydroxybenzeneacrylic hydroxycinnamic aromatic polyphenol poly phenol phenolic phytochemical phyto
# table 10-2
chlrac,Chlorogenic acid,3,polyph,cqa dihydroxycinnamoyl quinate quinic caffeoylquinate caffeoylquinic chlorogenate heriguard hydroxycinnamic aromatic trans ester polyphenol poly phenol phenolic phytochemical phyto
ferac,Ferulic acid,3,polyph,propenoic hydroxy methoxyphenyl acrylic methoxy methoxycinnamic ferulate coniferic trans ferulic hydroxycinnamic aromatic polyphenol poly phenol phenolic phytochemical phyto crystalline crystal powder
apigen,Apigenin,3,polyph,flavone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical yellow pigment crystalline crystal solid trihydroxyflavone apigenine chamomile apigenol spigenin versulin aglycone glycoside
apigen6cgls,Apigenin-6-C-gluoside,3,polyph,6c 6 flavone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment isovitexin homovitexin saponaretin
apigen7onshps,Apigenin-7-O-neohesperidoside,3,polyph,7o 7 flavone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment rhoifolin
luteol,Luteolin,3,polyph,flavone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical yellow pigment crystalline crystal luteolol digitoflavone flacitran luteoline
kaemf,Kaempferol,3,polyph,flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical yellow pigment crystalline crystal solid antioxidant kaempherol robigenin pelargidenolon rhamnolutein rhamnolutin populnetin trifolitin kempferol swartziol
querce,Quercetin,3,polyph,flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical yellow pigment crystalline crystal powder bitter flavor sophoretin meletin quercetine xanthaurine quercetol quercitin quertine flavin meletin
querce3bdgls,Quercetin-3-β-D-glucoside,3,polyph,3βd 3bd 3β 3b βd bd 3 beta b flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment isoquercetin isoquercitrin isoquercitroside isoquercitin trifoliin isotrifolin isohyperoside isotrifoliin glucopyranoside
querce3ortns,Quercetin-3-O-rutinoside,3,polyph,3o 3 flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment rutin rutoside sophorin phytomelin sophorin birutan eldrin globularicitrin violaquercitrin glycoside
# table 10-3
querce3bgls,Quercetin-3-β-galactoside,3,polyph,3β 3b 3 beta b flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment hyperoside hyperozide hyperasid hyperosid hyperin
isormt,Isorhamnetin,3,polyph,flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment methylquercetin isorhamnetol isorhamentin isorhamnetine rhamnetin methoxyquercetin methylated
myrct,Myricetin,3,polyph,flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment cannabiscetin myricetol myricitin
rsvrtol,Resvertrol,3,polyph,aglycone stilbenoid phenylpropanoid polyphenol poly phenol phenolic phytochemical trihydroxystilbene stilbenetriol trans phytoalexin
hespt,Hesperetin,3,polyph,eriodictyol flavanone flavanoid polyphenol poly phenol phenolic phytochemical
narng,Naringenin,3,polyph,flavanone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical  colourless pigment bitter naringetol salipurol salipurpol trihydroxyflavanone
hespd,Hesperdin,3,polyph,flavanone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment hesperetin rutinoside flavan glycoside
daidzn,Daidzein,3,polyph,formononetin isoflavone phytoestrogens isoflavonoid flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pale yellow pigment prism dihydroxyisoflavone daidzeol isoaurostatin
gnstein,Genistein,3,polyph,biochanin a isoflavone phytoestrogens isoflavonoid flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment angiogenesis inhibitor
epicatec,(-)-Epicatechin,3,polyph,epi catechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment antioxidant catechin
# table 10-4
epicategc,(-)-Epigallo catechin,3,polyph,epigallo catechin epigallocatechin epigallocatechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment
epicatgc3gal,(-)-Epigallo catechin 3-gallate,3,polyph,epigallocatechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment egcg catechin
catec,(+)-Catechin,3,polyph,catechin catechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical colorless pigment solid antioxidant cianidanol cyanidanol catechinic catechuic cianidol dexcyanidanol trans flavanpentol
galcatecgal,(-)-Gallocatechin gallate,3,polyph,gallo catechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment gcg
galcatec,(-)-Gallocatechin,3,polyph,gallocatechin gallo catechin gallo catechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment antioxidant gc gallocatechol
syrgac,Syringic acid,3,polyph,trihydroxybenzoic polyphenol poly phenol phenolic phytochemical
sinpac,Sinapinic acid,3,polyph,sinapic dimethoxycinnamic hydroxycinnamic aromatic polyphenol poly phenol phenolic phytochemical
ellgac,Ellagic acid,3,polyph,dilactone hexahydroxydiphenic polyphenol poly phenol phenolic aromatic phytochemical antioxidant antiproliferative
polyph,Total polyphenols,0,,poly phenol phenolic phytochemical
# table 11
rafs,Raffinose,0,olsac,rafinosa gossypose melitose melitriose galactosylsucrose fructofuranosyl galactopyranosyl glucopyranoside trisaccharide oligosaccharide carbohydrate
stas,Stachyose,0,olsac,fructofuranosyl galactopyranosyl glucopyranoside tetrasaccharide oligosaccharide carbohydrate
vers,Verbascose,0,olsac,pentasaccharide oligosaccharide carbohydrate
ajgs,Ajugose,0,olsac,hexasaccharide oligosaccharide carbohydrate
camt,Campesterol,3,phystr,phytosterol plant sterol phytosteroid steroid alcohol campestanol
stgstr,Stigmasterol,3,phystr,phytosterol plant sterol phytosteroid steroid alcohol unsaturated white solid wulzen anti stiffness factor
stostrb,β-Sitosterol,0,phystr,b beta phytosterol plant sterol phytosteroid steroid alcohol white waxy powder soild
phytac,Phytate,0,,ip6 ip 6 phytic inositol hexakisphosphate polyphosphate cyclohexane hexayl hexakis dihydrogen phosphate salt saturated cyclic acid
sapon,Total Saponin,0,,triterpene triterpenoid glycoside amphipathic lipophilic hydrophilic soap foaming
# added columns
vitb,Total Vitamin B,0,vit,vitamin b
vitd,Total Vitamin D,6,vit,vitamin d
vitk,Total Vitamin K,3,vit,vitamin k
tocph,Tocopherols,3,,total tocopherol tcp methylated phenol vitamin e antioxidant
toctr,Tocotrienols,3,,total tocotrienol vitamin e antioxidant
amiace,Essential Amino acids,-3,amiac,total essential
amiacce,Conditionally essential Amino acids,0,amiac,total
amiacne,Non-essential Amino acids,-3,amiac,total
amiac,Total Amino acids,-3,,total amino acid
orgac,Organic acids,0,,total organic acid
fauns,Total unsaturated Fatty acids,0,fatce,good healthy fat lipid
faess,Essential Fatty acids,0,fatce,total good healthy fat lipid
facn3,Cis ω-3 Fatty acids,0,,total ω3 w3 w 3 omega good healthy fat lipid
facn6,Cis ω-6 Fatty acids,0,,total ω6 w6 w 6 omega good healthy fat lipid
facn9,Cis ω-9 Fatty acids,0,,total ω9 w9 w 9 omega good healthy fat lipid
famscis,Cis Monounsaturated Fatty acids,0,fams,total good healthy fat lipid
fatrn,Trans Fatty acids,0,fams,total trans bad unhealthy harmful detrimental damaging fat lipid
olsac,Oligosaccharides,0,cho,total polymer complex saccharide
phystr,Phytosterols,0,,total plant sterol stanol phytosteroid natural plant steroid
mnrleq,Essential Quantity Minerals,0,ash,total chemical element
mnrlet,Essential Trace Minerals,3,ash,total essential chemical element
mnrlpet,Possibly essential Trace Minerals,3,ash,total chemical element
mnrlnet,Non-essential Trace Minerals,3,ash,total chemical element
mnrltx,Toxic Minerals,6,ash,total chemical element
carot,Carotenes,3,cartoid,total carotene carotin photosythetic orange pigment carotenoid
xantp,Xanthophylls,3,cartoid,total xanthophyll phylloxanthin yellow pigment carotenoid
cartbeq,β-Carotene equivalents,3,vita,total beta b carotene carotenoid provitamin previtamin a
vita,Total Vitamin A,3,vit,vitamin vitamin-a
vit,Total Vitamins,0,,vitamin vitamin vitamin
